循环次数,平均放电电压,平均放电温度,等压降放电时间（3.8V-3.5V）,容量
101,3.459598363,31.43592191,876.406,1.38490111
102,3.450656989,31.47523811,876.156,1.370325181
103,3.455515243,31.58174456,878.719,1.373346439
104,3.455840339,31.64795854,867.375,1.367948729
105,3.448678294,31.66203228,856.234,1.356714109
106,3.474503179,30.43450088,986.156,1.460431021
107,3.474031882,31.01799706,976.453,1.450099894
108,3.47440421,31.39483761,966.094,1.43814069
109,3.471767044,31.24511886,939.016,1.428368198
110,3.468530527,31.05306925,931.171,1.414787452
111,3.465121365,30.88589263,917.297,1.413889163
112,3.465287986,31.05399238,908.75,1.398933166
113,3.461799526,31.49284007,911.078,1.395332258
114,3.46326014,31.93832685,912.531,1.39004613
115,3.462839429,31.74562722,888.344,1.386027145
116,3.456915224,31.31018499,876.609,1.38821526
117,3.457469018,31.12736035,878.954,1.376182656
118,3.450219178,30.98555081,853.859,1.36471689
119,3.448672805,30.89965328,854.875,1.358985474
120,3.44463272,30.70612364,835.266,1.346230876
121,3.467272639,30.47122187,926.797,1.426842782
122,3.464490491,30.93922178,914.735,1.406448148
123,3.459667012,31.11164063,889.781,1.393490749
124,3.462241957,31.03791022,891.781,1.388249351
125,3.45556617,30.96795084,880.578,1.370187834
126,3.4586962,30.93996204,882.11,1.379695167
127,3.452528261,31.2950193,870.844,1.368658632
128,3.455229008,31.81846533,872.5,1.362737178
129,3.461974422,32.00067163,858.765,1.363405113
130,3.452221906,31.73992229,847.656,1.351864604
131,3.447650049,31.5261365,835.906,1.354796973
132,3.447928508,31.27624494,836.829,1.341051441
